hipcenter: 0.02193503,-0.01630317,2.02963	hipright: 0.07525611,-0.09114228,2.065763	kneeright: 0.04691609,-0.4767704,2.031721	ankleright: 0.03191411,-0.7610263,2.033504	footright: 0.07921235,-0.7940481,1.966989	hipleft: -0.0293273,-0.07533263,1.977256	kneeleftleft: -0.05714321,-0.4624096,1.965981	ankleleft: -0.1062195,-0.7246307,1.927315	footleft: -0.05892127,-0.7576524,1.860799	TIME4/12/2014 2:04:21 PM
hipcenter: 0.02573737,-0.01586694,2.034913	hipright: 0.07859637,-0.09129842,2.072543	kneeright: 0.0463129,-0.4784811,2.034535	ankleright: 0.03152268,-0.7625373,2.03589	footright: 0.07904834,-0.7958396,1.969631	hipleft: -0.02574147,-0.07489418,1.982431	kneeleftleft: -0.05549423,-0.4628606,1.968566	ankleleft: -0.105649,-0.7245041,1.927982	footleft: -0.05812339,-0.7578064,1.861724	TIME4/12/2014 2:04:21 PM
hipcenter: 0.03072657,-0.01971159,2.041768	hipright: 0.08288957,-0.09433531,2.079041	kneeright: 0.04544664,-0.4798413,2.037486	ankleright: 0.03041098,-0.7629365,2.038376	footright: 0.07788717,-0.7966295,1.972261	hipleft: -0.02117911,-0.07745249,1.991278	kneeleftleft: -0.0539858,-0.4628009,1.971137	ankleleft: -0.1047593,-0.7247754,1.929069	footleft: -0.05728315,-0.7584684,1.862954	TIME4/12/2014 2:04:21 PM
hipcenter: 0.03200667,-0.0204134,2.043808	hipright: 0.08455738,-0.09570068,2.082	kneeright: 0.04560172,-0.4799722,2.041452	ankleright: 0.02999578,-0.7641867,2.040215	footright: 0.07810126,-0.7980402,1.974586	hipleft: -0.02069176,-0.07776351,1.992503	kneeleftleft: -0.0529082,-0.4626974,1.973194	ankleleft: -0.1043793,-0.7253277,1.930183	footleft: -0.05627383,-0.7591812,1.864554	TIME4/12/2014 2:04:21 PM
hipcenter: 0.03211256,-0.02006263,2.043966	hipright: 0.08428716,-0.09607426,2.082488	kneeright: 0.04755294,-0.4790273,2.049627	ankleright: 0.02834997,-0.765692,2.042314	footright: 0.07764494,-0.7997909,1.977619	hipleft: -0.02067911,-0.07726271,1.99231	kneeleftleft: -0.05230761,-0.4626186,1.974889	ankleleft: -0.1042092,-0.7255927,1.930923	footleft: -0.05491423,-0.7596916,1.866228	TIME4/12/2014 2:04:21 PM
hipcenter: 0.0310783,-0.02151544,2.043486	hipright: 0.08046427,-0.1001762,2.0813	kneeright: 0.04647655,-0.4794493,2.052533	ankleright: 0.02676827,-0.7658796,2.043504	footright: 0.07637093,-0.8001412,1.979119	hipleft: -0.02149623,-0.07764761,1.991822	kneeleftleft: -0.05241425,-0.4625196,1.977178	ankleleft: -0.1042553,-0.7255363,1.931607	footleft: -0.05465262,-0.759798,1.867222	TIME4/12/2014 2:04:21 PM
hipcenter: 0.03015265,-0.02265387,2.043428	hipright: 0.07873435,-0.1016724,2.081114	kneeright: 0.04360301,-0.4813628,2.053803	ankleright: 0.02599929,-0.7665416,2.044621	footright: 0.07594766,-0.8009425,1.9805	hipleft: -0.02222275,-0.07785436,1.991796	kneeleftleft: -0.0520895,-0.462655,1.979988	ankleleft: -0.1044679,-0.7255408,1.931964	footleft: -0.0545195,-0.7599416,1.867843	TIME4/12/2014 2:04:21 PM
hipcenter: 0.02875369,-0.0233141,2.04306	hipright: 0.07655028,-0.102743,2.080899	kneeright: 0.04221969,-0.4799583,2.056444	ankleright: 0.02424616,-0.7664087,2.045944	footright: 0.07510413,-0.8010924,1.982602	hipleft: -0.02393959,-0.07815953,1.991433	kneeleftleft: -0.05219591,-0.4618501,1.982631	ankleleft: -0.1045639,-0.7254952,1.932255	footleft: -0.05370597,-0.760179,1.868912	TIME4/12/2014 2:04:21 PM
hipcenter: 0.02698246,-0.02497829,2.042794	hipright: 0.07377473,-0.1039728,2.080437	kneeright: 0.04044453,-0.4793248,2.057989	ankleright: 0.02359995,-0.7661077,2.046647	footright: 0.07490341,-0.8010325,1.983771	hipleft: -0.02527122,-0.07877631,1.99165	kneeleftleft: -0.05288246,-0.4621482,1.983404	ankleleft: -0.1048751,-0.725444,1.932676	footleft: -0.05357169,-0.7603688,1.8698	TIME4/12/2014 2:04:21 PM
hipcenter: 0.02316086,-0.0309537,2.043197	hipright: 0.06848539,-0.1079588,2.081486	kneeright: 0.03897122,-0.4785698,2.058931	ankleright: 0.02234957,-0.7654428,2.047335	footright: 0.07361977,-0.8006892,1.984663	hipleft: -0.02773018,-0.08281821,1.992348	kneeleftleft: -0.05320435,-0.4619872,1.984007	ankleleft: -0.1054315,-0.7251821,1.933004	footleft: -0.05416126,-0.7604285,1.870332	TIME4/12/2014 2:04:21 PM
hipcenter: 0.02132069,-0.03268005,2.042506	hipright: 0.06604539,-0.1093752,2.081219	kneeright: 0.03731664,-0.4775684,2.059206	ankleright: 0.02170417,-0.7655741,2.047476	footright: 0.07295901,-0.800936,1.984917	hipleft: -0.02928976,-0.08391109,1.991734	kneeleftleft: -0.05394926,-0.4618372,1.984255	ankleleft: -0.1055963,-0.7251504,1.933027	footleft: -0.05434149,-0.7605123,1.870468	TIME4/12/2014 2:04:21 PM
hipcenter: 0.02002448,-0.03573748,2.042975	hipright: 0.06343821,-0.1112056,2.081463	kneeright: 0.0364367,-0.477162,2.059298	ankleright: 0.02086715,-0.764994,2.047676	footright: 0.07178761,-0.8004563,1.984991	hipleft: -0.02935551,-0.08688095,1.993232	kneeleftleft: -0.05462427,-0.4618336,1.984033	ankleleft: -0.106064,-0.7251557,1.93326	footleft: -0.05514351,-0.760618,1.870574	TIME4/12/2014 2:04:21 PM
hipcenter: 0.01830347,-0.03551785,2.040847	hipright: 0.06199023,-0.1109087,2.079785	kneeright: 0.03519564,-0.4770325,2.058565	ankleright: 0.02041866,-0.765317,2.047761	footright: 0.07150226,-0.8007112,1.985222	hipleft: -0.03187104,-0.08653843,1.989657	kneeleftleft: -0.0551664,-0.4619877,1.983491	ankleleft: -0.1062571,-0.7252039,1.933198	footleft: -0.05517352,-0.7605981,1.870659	TIME4/12/2014 2:04:21 PM
hipcenter: 0.01661675,-0.03491976,2.038307	hipright: 0.06064051,-0.1109714,2.077627	kneeright: 0.03386602,-0.4771717,2.05761	ankleright: 0.0191416,-0.7661965,2.047962	footright: 0.07031614,-0.801506,1.985495	hipleft: -0.03421618,-0.08548715,1.985955	kneeleftleft: -0.05686831,-0.4640696,1.981055	ankleleft: -0.1066173,-0.7249502,1.933017	footleft: -0.05544275,-0.7602597,1.870551	TIME4/12/2014 2:04:21 PM
hipcenter: 0.01523978,-0.03423686,2.034429	hipright: 0.05840164,-0.108717,2.072162	kneeright: 0.03273022,-0.4750974,2.055794	ankleright: 0.01878482,-0.7662646,2.047957	footright: 0.06997281,-0.8013758,1.985426	hipleft: -0.03492851,-0.08455136,1.982314	kneeleftleft: -0.05696455,-0.4641179,1.980472	ankleleft: -0.1066866,-0.7249775,1.932872	footleft: -0.05549864,-0.7600887,1.87034	TIME4/12/2014 2:04:21 PM
hipcenter: 0.01351942,-0.03601715,2.029225	hipright: 0.05595719,-0.1088972,2.064549	kneeright: 0.03165551,-0.4759244,2.053582	ankleright: 0.01851723,-0.7660959,2.04787	footright: 0.06935889,-0.8009205,1.984931	hipleft: -0.03592131,-0.08473371,1.978974	kneeleftleft: -0.05665469,-0.4640214,1.980158	ankleleft: -0.106677,-0.7247455,1.932517	footleft: -0.0558353,-0.7595702,1.869579	TIME4/12/2014 2:04:21 PM
hipcenter: 0.01320498,-0.03736133,2.025832	hipright: 0.05562955,-0.1095493,2.060339	kneeright: 0.03115085,-0.4761949,2.051631	ankleright: 0.01846078,-0.7656132,2.047857	footright: 0.06923972,-0.8002017,1.984781	hipleft: -0.03582782,-0.0851325,1.975989	kneeleftleft: -0.05663671,-0.4656507,1.977763	ankleleft: -0.1064421,-0.7247835,1.931962	footleft: -0.05566312,-0.759372,1.868885	TIME4/12/2014 2:04:21 PM
hipcenter: 0.01364229,-0.03784061,2.02431	hipright: 0.05600683,-0.109693,2.058619	kneeright: 0.03096729,-0.4766033,2.050406	ankleright: 0.01827016,-0.7659558,2.047899	footright: 0.06915307,-0.8004211,1.984878	hipleft: -0.03500758,-0.08523569,1.974089	kneeleftleft: -0.05597101,-0.4658056,1.976623	ankleleft: -0.1060515,-0.7253534,1.93178	footleft: -0.05516864,-0.7598186,1.868759	TIME4/12/2014 2:04:22 PM
