hipcenter: -0.003921275,-0.02538945,2.290423	hipright: 0.07594542,-0.09985054,2.270736	kneeright: 0.08036914,-0.5552524,2.270573	ankleright: 0.07637976,-0.8690372,2.269105	footright: 0.08096237,-0.9015784,2.169598	hipleft: -0.08241387,-0.1006253,2.255616	kneeleftleft: -0.1090352,-0.5707009,2.272192	ankleleft: -0.1105162,-0.8644807,2.268611	footleft: -0.1059336,-0.8970219,2.169105	TIME4/8/2014 11:48:54 AM
hipcenter: -0.00663928,-0.02593831,2.286057	hipright: 0.07205546,-0.09894907,2.264209	kneeright: 0.07837275,-0.5562258,2.27017	ankleright: 0.07721185,-0.8689796,2.27282	footright: 0.08138704,-0.9014793,2.173408	hipleft: -0.08433192,-0.1004566,2.253777	kneeleftleft: -0.1093275,-0.5706066,2.27168	ankleleft: -0.1145731,-0.8709081,2.268219	footleft: -0.1103979,-0.9034078,2.168807	TIME4/8/2014 11:48:54 AM
hipcenter: -0.006614,-0.02594365,2.285999	hipright: 0.07208794,-0.09891868,2.264114	kneeright: 0.07827342,-0.5561737,2.270142	ankleright: 0.07718675,-0.8690582,2.272916	footright: 0.08138162,-0.9015505,2.173528	hipleft: -0.08433522,-0.1004548,2.253783	kneeleftleft: -0.1093877,-0.570399,2.271616	ankleleft: -0.1145585,-0.8702586,2.268136	footleft: -0.1103636,-0.9027508,2.168748	TIME4/8/2014 11:48:55 AM
hipcenter: -0.006778198,-0.02580462,2.285861	hipright: 0.07192264,-0.09877357,2.263931	kneeright: 0.07824269,-0.5559861,2.270146	ankleright: 0.07719166,-0.8690405,2.272901	footright: 0.08131525,-0.9015237,2.173535	hipleft: -0.08456338,-0.1003394,2.253676	kneeleftleft: -0.1094716,-0.5702233,2.27155	ankleleft: -0.1146129,-0.8699998,2.268182	footleft: -0.1104893,-0.902483,2.168816	TIME4/8/2014 11:48:55 AM
hipcenter: -0.006866832,-0.02567399,2.285831	hipright: 0.07189739,-0.0986916,2.2639	kneeright: 0.07821818,-0.5559503,2.270147	ankleright: 0.07691301,-0.8691239,2.273067	footright: 0.08103341,-0.9015984,2.173727	hipleft: -0.08465874,-0.1002736,2.253681	kneeleftleft: -0.10948,-0.57042,2.271601	ankleleft: -0.1145714,-0.8699505,2.268238	footleft: -0.110451,-0.902425,2.168898	TIME4/8/2014 11:48:55 AM
hipcenter: -0.00681848,-0.02557177,2.285669	hipright: 0.071942,-0.09859115,2.263813	kneeright: 0.07825248,-0.5558272,2.270151	ankleright: 0.07706723,-0.8688174,2.273496	footright: 0.08121754,-0.9012836,2.174184	hipleft: -0.08459431,-0.1001583,2.253497	kneeleftleft: -0.1094697,-0.5703212,2.2716	ankleleft: -0.1131126,-0.8685145,2.268541	footleft: -0.1089623,-0.9009807,2.169229	TIME4/8/2014 11:48:55 AM
hipcenter: -0.006733944,-0.02568915,2.285437	hipright: 0.07201494,-0.09865198,2.263793	kneeright: 0.0782497,-0.5557797,2.270168	ankleright: 0.0769912,-0.8688202,2.27355	footright: 0.08109808,-0.9012908,2.174222	hipleft: -0.08448474,-0.1002608,2.252928	kneeleftleft: -0.1092103,-0.5707175,2.271623	ankleleft: -0.1139794,-0.8675347,2.268428	footleft: -0.1098726,-0.9000053,2.1691	TIME4/8/2014 11:48:55 AM
hipcenter: -0.006614195,-0.02583861,2.285181	hipright: 0.07214995,-0.09872276,2.263738	kneeright: 0.07837521,-0.5558826,2.270211	ankleright: 0.07731593,-0.8685421,2.273864	footright: 0.08124666,-0.9010006,2.174557	hipleft: -0.0843221,-0.1004783,2.252457	kneeleftleft: -0.1092434,-0.5707716,2.271611	ankleleft: -0.1139867,-0.867228,2.268517	footleft: -0.110056,-0.8996865,2.169209	TIME4/8/2014 11:48:55 AM
hipcenter: -0.006402727,-0.02582124,2.284995	hipright: 0.07236195,-0.09872171,2.2638	kneeright: 0.07842116,-0.5559325,2.270232	ankleright: 0.0775239,-0.8688,2.274234	footright: 0.08140371,-0.9012454,2.174955	hipleft: -0.08405893,-0.1005488,2.25208	kneeleftleft: -0.1091825,-0.5707144,2.271624	ankleleft: -0.1145419,-0.8668625,2.268647	footleft: -0.1106621,-0.8993078,2.169368	TIME4/8/2014 11:48:55 AM
hipcenter: -0.006027025,-0.02616646,2.284612	hipright: 0.07259886,-0.09890807,2.263889	kneeright: 0.07842814,-0.5559388,2.270252	ankleright: 0.07727127,-0.8689323,2.274226	footright: 0.081756,-0.9013794,2.175	hipleft: -0.08346828,-0.1007027,2.251389	kneeleftleft: -0.109117,-0.5705015,2.271534	ankleleft: -0.1143012,-0.8665434,2.269346	footleft: -0.1098165,-0.8989905,2.17012	TIME4/8/2014 11:48:55 AM
hipcenter: -0.004416031,-0.02205221,2.28817	hipright: 0.07549506,-0.09606715,2.267827	kneeright: 0.07897855,-0.5558964,2.271624	ankleright: 0.07751299,-0.8703054,2.271952	footright: 0.07904871,-0.9017156,2.172042	hipleft: -0.08256131,-0.09757088,2.255887	kneeleftleft: -0.1084913,-0.5692834,2.27255	ankleleft: -0.1111568,-0.8673996,2.270145	footleft: -0.1096211,-0.8988098,2.170235	TIME4/8/2014 11:48:58 AM
